"word","tag"
"的","HSK1"
"了","HSK1"
"在","HSK1"
"是","HSK1"
"我","HSK1"
"一","HSK1"
"有","HSK1"
"他","HSK1"
"这","HSK1"
"个","HSK1"
"和","HSK1"
"不","HSK1"
"就","HSK1"
"也","HSK1"
"人","HSK1"
"你","HSK1"
"说","HSK1"
"们","HSK1"
"上","HSK1"
"都","HSK1"
"对","HSK1"
"要","HSK1"
"点","HSK1"
"到","HSK1"
"多","HSK1"
"会","HSK1"
"着","HSK1"
"来","HSK1"
"她","HSK1"
"还","HSK1"
"没","HSK1"
"很","HSK1"
"好","HSK1"
"中","HSK1"
"年","HSK1"
"大","HSK1"
"给","HSK1"
"从","HSK1"
"看","HSK1"
"去","HSK1"
"能","HSK1"
"两","HSK1"
"下","HSK1"
"做","HSK1"
"等","HSK1"
"三","HSK1"
"里","HSK1"
"过","HSK1"
"那","HSK1"
"后","HSK1"
"想","HSK1"
"地","HSK1"
"用","HSK1"
"出","HSK1"
"现","HSK1"
"次","HSK1"
"最","HSK1"
"什","HSK1"
"么","HSK1"
"小","HSK1"
"月","HSK1"
"天","HSK1"
"工","HSK1"
"作","HSK1"
"家","HSK1"
"再","HSK1"
"时","HSK1"
"间","HSK1"
"前","HSK1"
"新","HSK1"
"候","HSK1"
"些","HSK1"
"比","HSK1"
"走","HSK1"
"太","HSK1"
"找","HSK1"
"四","HSK1"
"几","HSK1"
"本","HSK1"
"打","HSK1"
"呢","HSK1"
"事","HSK1"
"起","HSK1"
"车","HSK1"
"非","HSK1"
"常","HSK1"
"知","HSK1"
"道","HSK1"
"手","HSK1"
"今","HSK1"
"五","HSK1"
"二","HSK1"
"吗","HSK1"
"真","HSK1"
"跟","HSK1"
"孩","HSK1"
"子","HSK1"
"高","HSK1"
"日","HSK1"
"觉","HSK1"
"得","HSK1"
"吧","HSK1"
"话","HSK1"
"钱","HSK1"
"开","HSK1"
"岁","HSK1"
"吃","HSK1"
"身","HSK1"
"重","HSK1"
"爱","HSK1"
"国","HSK1"
"买","HSK1"
"号","HSK1"
"喜","HSK1"
"欢","HSK1"
"怎","HSK1"
"分","HSK1"
"谁","HSK1"
"告","HSK1"
"诉","HSK1"
"样","HSK1"
"方","HSK1"
"十","HSK1"
"见","HSK1"
"六","HSK1"
"问","HSK1"
"叫","HSK1"
"回","HSK1"
"正","HSK1"
"快","HSK1"
"住","HSK1"
"请","HSK1"
"水","HSK1"
"东","HSK1"
"西","HSK1"
"听","HSK1"
"老","HSK1"
"机","HSK1"
"电","HSK1"
"行","HSK1"
"朋","HSK1"
"友","HSK1"
"拿","HSK1"
"路","HSK1"
"外","HSK1"
"放","HSK1"
"学","HSK1"
"校","HSK1"
"别","HSK1"
"站","HSK1"
"准","HSK1"
"备","HSK1"
"元","HSK1"
"进","HSK1"
"写","HSK1"
"先","HSK1"
"您","HSK1"
"女","HSK1"
"生","HSK1"
"门","HSK1"
"八","HSK1"
"七","HSK1"
"送","HSK1"
"花","HSK1"
"第","HSK1"
"块","HSK1"
"坐","HSK1"
"影","HSK1"
"昨","HSK1"
"笑","HSK1"
"介","HSK1"
"绍","HSK1"
"书","HSK1"
"少","HSK1"
"楼","HSK1"
"医","HSK1"
"院","HSK1"
"早","HSK1"
"晚","HSK1"
"男","HSK1"
"习","HSK1"
"口","HSK1"
"穿","HSK1"
"午","HSK1"
"认","HSK1"
"识","HSK1"
"难","HSK1"
"球","HSK1"
"九","HSK1"
"妈","HSK1"
"汽","HSK1"
"跑","HSK1"
"动","HSK1"
"儿","HSK1"
"远","HSK1"
"帮","HSK1"
"视","HSK1"
"师","HSK1"
"百","HSK1"
"半","HSK1"
"干","HSK1"
"体","HSK1"
"喝","HSK1"
"网","HSK1"
"字","HSK1"
"杯","HSK1"
"飞","HSK1"
"哪","HSK1"
"包","HSK1"
"脑","HSK1"
"歌","HSK1"
"山","HSK1"
"热","HSK1"
"唱","HSK1"
"名","HSK1"
"白","HSK1"
"病","HSK1"
"票","HSK1"
"睡","HSK1"
"房","HSK1"
"明","HSK1"
"差","HSK1"
"风","HSK1"
"马","HSK1"
"错","HSK1"
"读","HSK1"
"答","HSK1"
"兴","HSK1"
"试","HSK1"
"爸","HSK1"
"教","HSK1"
"边","HSK1"
"谢","HSK1"
"记","HSK1"
"班","HSK1"
"忙","HSK1"
"考","HSK1"
"南","HSK1"
"关","HSK1"
"同","HSK1"
"衣","HSK1"
"服","HSK1"
"北","HSK1"
"菜","HSK1"
"床","HSK1"
"休","HSK1"
"息","HSK1"
"冷","HSK1"
"肉","HSK1"
"零","HSK1"
"坏","HSK1"
"树","HSK1"
"饭","HSK1"
"忘","HSK1"
"气","HSK1"
"右","HSK1"
"课","HSK1"
"洗","HSK1"
"左","HSK1"
"累","HSK1"
"毛","HSK1"
"姐","HSK1"
"雨","HSK1"
"旁","HSK1"
"京","HSK1"
"页","HSK1"
"贵","HSK1"
"面","HSK1"
"哥","HSK1"
"茶","HSK1"
"慢","HSK1"
"星","HSK1"
"期","HSK1"
"场","HSK1"
"妹","HSK1"
"火","HSK1"
"弟","HSK1"
"净","HSK1"
"奶","HSK1"
"饿","HSK1"
